Wablieft_idx, top_3_standaard_idx, Manual_Scores
449, [7077,5107,4620], [1,1,2]
420, [783,2988,4617], [2,1,3]
154, [3651,7595,442], [2,2,4]
333, [2534,2613,5180], [4,5,3]
257, [411,3656,1963], [2,1,1]
408, [5455,5021,3095], [3,3,4]
352, [5920,1001,1062], [4,1,1]
224, [7104,215,202], [2,4,4]
80, [5366,692,7580], [3,2,2]
282, [5168,3838,6691], [2,2,5]
354, [3526,3523,3041], [4,4,4]
121, [3552,3385,2543], [3,2,2]
203, [6787,2534,3117], [2,2,2]
476, [3799,3794,5488], [2,2,3]
529, [3343,2963,5617], [0,1,1]
48, [6443,5094,5989], [0,1,1]
403, [3759,1850,7413], [1,2,2]
218, [740,5975,4318], [2,1,0]
334, [4029,4608,5649], [2,2,3]
392, [1301,3346,5622], [1,1,4]
427, [7077,587,3355], [0,1,1]
206, [1030,654,188], [1,2,4]
188, [2873,5562,6998], [1,2,0]
17, [1854,2381,4881], [1,3,2]
539, [5273,6073,6642], [4,4,4]
227, [7483,82,5700], [2,1,1]
508, [3837,3339,6172], [1,1,5]
59, [4165,4898,3945], [1,0,1]
172, [7405,4035,4772], [1,1,1]
0, [5043,2277,1517], [0,2,0]
487, [5293,4294,4384], [2,4,4]
213, [4694,5495,6105], [1,0,1]
451, [4241,480,3112], [4,2,2]
463, [950,6466,3368], [1,1,1]
314, [3008,2732,2262], [0,4,5]
261, [3758,3937,6503], [0,1,0]
391, [3100,1595,4323], [0,0,2]
10, [1327,232,4539], [0,4,1]
433, [5095,5752,5321], [5,0,5]
70, [1280,2098,1527], [2,1,1]
201, [155,576,5374], [3,3,4]
60, [2023,4416,6765], [1,1,1]
248, [5654,3064,5891], [1,1,1]
268, [1363,3219,459], [1,1,1]
358, [4653,7361,2873], [2,2,2]
86, [4402,3079,4462], [2,1,1]
338, [7569,2923,1069], [1,1,5]
380, [5091,5617,3351], [1,2,5]
318, [6138,138,828], [4,4,3]
204, [6761,5843,6787], [2,2,2]
536, [3389,4134,6265], [1,1,5]
98, [3553,4409,5045], [1,1,1]
179, [1553,5447,286], [0,0,4]
396, [2951,5293,4294], [4,5,3]
428, [5561,3522,4462], [1,1,5]
485, [5111,4591,2794], [3,2,1]
471, [1863,5227,1862], [0,0,0]
379, [688,761,3586], [4,3,5]
289, [1633,4227,668], [5,4,4]
297, [7443,6050,7191], [1,2,2]
34, [5180,1565,2534], [2,2,2]
506, [6868,2860,6867], [3,1,2]
182, [7480,3370,1864], [1,1,1]
456, [3422,2339,5180], [3,2,5]
256, [1953,7385,4327], [2,0,1]
462, [4349,1183,6010], [3,1,1]
532, [5802,3422,6769], [2,2,5]
186, [7180,2934,172], [5,3,4]
425, [1796,1480,1426], [0,0,1]
51, [3769,590,1793], [1,0,2]
116, [2810,2796,2553], [5,5,4]
472, [1849,3307,2576], [3,4,3]
527, [6436,2279,6469], [2,1,1]
127, [5946,5390,6477], [0,0,1]
356, [2312,924,900], [0,1,1]
378, [2340,2433,5200], [1,1,5]
82, [137,4481,7358], [1,0,0]
419, [2601,1363,3837], [1,0,1]
514, [3416,6840,6777], [2,1,1]
410, [5068,889,5148], [4,3,4]
146, [4646,1850,7413], [1,4,3]
390, [501,1297,411], [3,2,2]
223, [3017,7297,7230], [0,0,2]
377, [6690,705,4891], [0,0,0]
141, [7448,6706,1956], [1,3,2]
357, [3322,4333,3428], [3,3,4]
417, [1670,5284,4142], [3,3,5]
46, [7069,5939,1217], [0,1,1]
495, [6772,1694,7528], [0,1,4]
307, [2491,1698,2267], [5,4,4]
73, [4314,7338,2622], [1,0,1]
513, [1810,5445,2592], [1,2,5]
429, [2868,5433,2794], [2,2,1]
414, [1771,4087,3843], [2,5,4]
310, [6867,6868,4617], [2,4,3]
395, [4293,7613,4017], [5,5,4]
194, [7391,2480,2539], [0,1,0]
496, [1694,5843,5742], [3,2,5]
164, [2411,1950,6686], [0,0,0]
510, [6946,6945,6944], [2,2,2]
494, [2534,5843,6787], [1,5,4]
3, [564,983,6141], [2,2,0]
181, [7451,7453,1873], [2,2,5]
105, [1246,6177,406], [2,2,0]
503, [2279,5243,3315], [2,5,4]
198, [3455,6205,6070], [0,2,1]
81, [657,4141,3552], [2,1,2]
249, [1422,3323,6743], [1,1,1]
131, [232,7578,5390], [1,1,1]
147, [3718,5338,4323], [2,1,2]
171, [1704,2851,5776], [2,2,2]
383, [2963,4842,2892], [2,3,5]
469, [153,3949,4828], [1,1,1]
12, [2220,2931,2394], [2,3,3]
431, [1120,6223,4665], [1,2,5]
135, [1456,1274,1348], [1,4,4]
93, [5090,2111,3517], [1,2,1]
8, [3925,6218,6227], [1,3,2]
237, [1683,1745,4406], [5,4,3]
21, [2613,5180,2534], [2,2,2]
422, [5452,5168,6208], [2,1,1]
319, [1019,2158,436], [5,5,4]
492, [3117,6745,5345], [2,2,5]
244, [267,473,1041], [4,5,4]
190, [4415,4183,4936], [2,1,1]
448, [4065,678,439], [0,4,3]
335, [3646,1417,406], [2,2,2]
531, [2534,6762,3422], [3,5,3]
271, [3011,3077,314], [2,2,5]
364, [6521,6822,5528], [2,2,1]
200, [633,4347,2534], [1,3,0]
291, [2748,2850,3335], [3,3,2]
432, [7066,5437,3062], [5,3,4]
512, [3229,3896,1908], [1,1,3]
447, [5757,2625,439], [1,1,5]
85, [5646,2817,5748], [1,0,1]
470, [747,1050,7306], [2,0,3]
535, [1633,668,4227], [3,4,4]
280, [3838,6302,6691], [1,2,5]
110, [559,4670,843], [0,0,1]
155, [1770,1207,3906], [1,2,0]
542, [1465,4303,1788], [2,2,2]
163, [1211,3562,1461], [3,2,3]
524, [5901,6071,6758], [4,4,5]
100, [5089,2392,7086], [4,3,2]
486, [854,2951,6308], [4,4,4]
323, [5083,1821,4452], [3,0,3]
209, [7262,3319,5675], [1,4,2]
499, [5259,5017,5358], [3,3,5]
374, [1560,686,3519], [3,3,5]
371, [6745,2707,3520], [3,4,5]
118, [5197,6681,1694], [4,3,4]
270, [28,1513,1467], [2,5,5]
183, [6774,689,527], [2,4,4]
221, [2949,2581,4987], [1,3,4]
4, [1719,5321,62], [3,1,0]
483, [5138,4426,1854], [3,4,4]
240, [4453,622,6121], [3,3,3]
95, [2891,6824,3203], [1,1,1]
235, [6739,1641,3423], [2,5,4]
443, [4881,2381,2438], [1,1,1]
418, [7375,1297,551], [3,1,3]
107, [1545,840,5477], [4,4,3]
424, [457,3863,3747], [3,5,5]
272, [2576,1018,1698], [4,3,5]
84, [3854,6741,4666], [1,0,0]
525, [1741,6221,7119], [2,0,1]
402, [3964,2435,3977], [4,3,5]
474, [1341,278,5032], [2,4,3]
109, [1450,3344,3362], [2,2,2]
519, [1283,449,1807], [1,2,2]
284, [7569,6576,1281], [0,1,1]
481, [5752,2528,4359], [2,4,4]
243, [576,5374,430], [4,4,4]
482, [1034,4333,4528], [3,3,3]
219, [3368,5669,5687], [2,2,1]
174, [4584,7338,615], [3,1,4]
9, [6302,191,3758], [0,0,0]
351, [2876,2878,2875], [5,5,5]
278, [1003,5730,834], [1,1,5]
324, [1505,2256,2309], [1,4,4]
99, [1693,7418,6139], [2,2,2]
6, [3920,4776,4161], [2,2,2]
381, [7430,462,4462], [2,0,2]
130, [3145,6685,1953], [2,1,0]
281, [3627,6629,6691], [2,2,4]
5, [5120,102,1075], [3,1,1]
530, [5203,4123,4147], [2,1,1]
92, [4820,2652,2259], [3,4,4]
133, [1327,5728,2925], [0,2,1]
72, [5547,2831,1630], [4,0,3]
497, [5784,5908,5155], [5,4,4]
423, [7430,1385,4462], [1,0,0]
435, [5493,1862,4419], [3,3,3]
76, [2707,5180,3520], [3,2,3]
445, [741,5363,3246], [5,5,5]
187, [2381,1790,4881], [4,5,3]
30, [2401,1715,6862], [0,1,1]
388, [6642,6547,7391], [2,1,1]
162, [668,1633,4227], [4,4,4]
202, [5284,1771,4142], [4,3,3]
55, [7578,232,5390], [1,4,2]
7, [406,6840,5923], [2,0,2]
225, [6836,3712,1384], [0,0,4]
305, [2855,2004,933], [3,2,1]
211, [6564,3440,4299], [1,0,0]
276, [775,2438,1759], [0,0,5]
63, [6901,4426,7344], [1,0,2]
228, [7075,1852,2723], [2,4,4]
260, [3522,4462,859], [0,1,5]
101, [663,2638,2378], [2,2,0]
145, [4881,865,1966], [2,4,3]
416, [2543,480,4149], [3,3,3]
360, [3377,3127,2936], [4,4,5]
332, [3142,535,2706], [3,3,5]
1, [1158,7077,5043], [0,0,1]
478, [3522,3859,6698], [1,2,3]
191, [7361,4653,1006], [1,1,0]
369, [7241,2618,3352], [2,3,1]
363, [4730,3849,4146], [1,5,4]
189, [743,1741,5895], [3,3,5]
490, [2438,2576,5137], [0,1,5]
151, [6739,6283,73], [1,1,4]
361, [4276,3054,3444], [1,1,5]
230, [1657,4746,6698], [5,3,1]
504, [5273,6073,6642], [4,5,4]
446, [5168,619,439], [1,0,4]
348, [1770,6100,5363], [4,0,0]
142, [2393,2682,2394], [3,3,2]
132, [2050,6267,3863], [0,1,0]
345, [4327,457,3205], [0,1,5]
159, [5180,1548,1630], [1,3,2]
32, [2534,5843,6745], [1,1,1]
399, [3522,3079,3859], [1,1,5]
2, [130,3170,522], [1,1,2]
205, [7446,3836,2543], [2,2,3]
298, [5605,2361,4778], [0,0,3]
199, [423,6070,6205], [2,2,2]
308, [2508,2509,2506], [5,5,5]
252, [5872,740,114], [1,5,4]
68, [5228,6735,6576], [0,0,0]
304, [6295,2513,2132], [2,3,4]
273, [1928,436,1019], [3,3,4]
477, [3689,4453,6121], [2,2,2]
74, [6778,1738,1923], [3,3,3]
153, [2462,4142,1507], [2,2,1]
526, [5454,3422,6762], [4,2,5]
139, [1003,1380,5314], [1,1,2]
475, [4340,3064,4886], [2,0,0]
94, [5901,444,1168], [2,0,0]
366, [4721,3500,2229], [2,1,1]
454, [4227,1633,5157], [3,3,5]
41, [6930,4464,5312], [0,0,2]
97, [2934,172,7180], [0,1,0]
370, [5664,3184,4652], [2,5,1]
493, [5845,1738,1923], [5,3,2]
122, [4462,4671,2244], [0,0,1]
40, [1006,4653,5330], [2,2,2]
220, [681,685,831], [5,5,5]
129, [6073,4059,5273], [1,1,1]
62, [675,1654,1854], [1,3,1]
242, [3459,2543,3112], [3,1,1]
241, [501,353,740], [1,1,2]
413, [1738,1630,3746], [2,2,5]
331, [4142,2462,696], [3,5,2]
421, [3064,5227,527], [1,1,0]
214, [6903,7116,7622], [0,0,0]
538, [1657,4746,6349], [1,1,5]
42, [1541,1942,4475], [0,0,0]
315, [1849,2576,2501], [3,3,3]
382, [636,3873,470], [0,0,1]
405, [2773,6837,6129], [1,1,0]
87, [1907,5228,4464], [0,0,0]
207, [559,6226,6169], [2,3,0]
113, [4646,1850,7413], [1,3,4]
149, [2378,4426,28], [0,1,0]
300, [1953,457,1217], [0,1,5]
226, [501,342,411], [1,5,5]
212, [1662,4822,273], [1,1,1]
394, [3822,3825,3823], [5,5,5]
